glacier,cell,sed,Debri,,melt,z
7.5,Cell 60:,2.69,0.054710029,Hydro.60.out,54.26111753,5407.66511
7.5,Cell 63:,0,0,Hydro.63.out,0.058288348,5665.073338
7.5,Cell 64:,0,0,Hydro.64.out,0.004557938,5808.681111
7.5,Cell 65:,8.2,0.234376946,Hydro.65.out,134.0492976,5107.543301
7.5,Cell 66:,71.85,4.341542669,Hydro.66.out,626.6590237,4051.483284
7.5,Cell 67:,93.09,4.096876211,Hydro.67.out,783.230444,3911.563014
7.5,Cell 68:,30.94,1.764602111,Hydro.68.out,369.1313441,4715.746059
7.5,Cell 69:,5.58,0,Hydro.69.out,118.9655978,5313.121619
7.5,Cell 74:,0,0,Hydro.74.out,0.039771242,5825.377307
7.5,Cell 75:,2.6,0.10983685,Hydro.75.out,50.97629528,5550.248577
7.5,Cell 76:,38.3,1.648439098,Hydro.76.out,416.4270107,4616.593189
7.5,Cell 77:,80.03,2.438773246,Hydro.77.out,716.1404183,4127.998981
7.5,Cell 78:,36,1.055993314,Hydro.78.out,426.1621894,4672.725186
7.5,Cell 79:,6.69,0,Hydro.79.out,134.9082808,5295.093824
7.5,Cell 85:,3.33,0.721595723,Hydro.85.out,36.22194947,5690.783431
7.5,Cell 86:,18.85,0.374818356,Hydro.86.out,254.8704439,5077.735982
7.5,Cell 87:,49.19,0.729636238,Hydro.87.out,517.2528088,4559.334454
7.5,Cell 88:,33.41,0.579143707,Hydro.88.out,403.0452899,4777.921465
2.5,Cell 13:,318.89,125.5269928,Hydro.13.out,310.1328706,3197.314081
2.5,Cell 14:,309.65,126.0947658,Hydro.14.out,199.4816913,3815.07334
2.5,Cell 22:,27.44,10.55307525,Hydro.22.out,14.86970708,4786.320778
2.5,Cell 23:,139.81,53.61702236,Hydro.23.out,128.1659486,4069.613509
2.5,Cell 24:,144.76,53.86269807,Hydro.24.out,171.5541866,3945.877282
2.5,Cell 25:,101.74,39.10191754,Hydro.25.out,70.9779165,4683.685265
2.5,Cell 26:,11.72,4.61537392,Hydro.26.out,4.638074253,5310.663283
2.5,Cell 32:,0,0,Hydro.32.out,0.000520739,5455.397794
2.5,Cell 33:,17.49,6.077274413,Hydro.33.out,29.14520216,4705.298133
2.5,Cell 34:,73.69,25.93093496,Hydro.34.out,148.6457271,3962.573479
2.5,Cell 35:,66.01,22.93430553,Hydro.35.out,144.2754481,4028.84611
2.5,Cell 36:,29.26,9.903502768,Hydro.36.out,57.51842361,4679.792901
2.5,Cell 37:,5,1.581978816,Hydro.37.out,11.54976772,5174.635378
2.5,Cell 38:,1.95,0.497658174,Hydro.38.out,6.511465131,5260.062542
2.5,Cell 42:,0,0,Hydro.42.out,0.021697828,5403.260592
2.5,Cell 43:,0,0,Hydro.43.out,0.030990568,5214.378471
2.5,Cell 44:,31.32,10.53084311,Hydro.44.out,88.73968717,4418.799601
